FileName,FileType,CreateDate,ModifyDate,Author,GPSLatitude,GPSLongitude,AnomalyScore,IsAnomaly,RiskScore
./( الكورس 3 ) ++C المستوى الأول.pdf,PDF,2022-12-03 15:32:40+00:00,2022-12-03 15:32:40+00:00,سليمان عمرون,,,0.010420524633895312,1,51.87861276394372
./-Harris_and_Harris--Digital_Design_and_Computer.pdf,PDF,2007-02-20 11:38:56+00:00,2010-02-10 20:17:44+00:00,"David Harris, Sarah Harris",,,-0.10277740915539813,-1,82.04398546781289
./01 - Programming Foundations - Level 1 (1).pdf,PDF,2023-12-23 08:57:19+00:00,2023-12-23 08:57:20+00:00,Ahmed Hanafi,,,0.045377126266283985,1,42.56325795663345
./01 - Programming Foundations - Level 1.docx,DOCX,2022-10-26 07:58:00+00:00,2023-04-13 09:42:00+00:00,,,,0.06447018225688383,1,37.47527506920408
./01 - Programming Foundations - Level 1.pdf,PDF,2023-12-23 08:57:19+00:00,2023-12-23 08:57:20+00:00,Ahmed Hanafi,,,0.045377126266283985,1,42.56325795663345
./01. Bolum - Yapay Sinir Aglari.pdf,PDF,2024-05-25 15:51:40+00:00,2024-05-25 15:51:41+00:00,,,,0.09098540526267102,1,30.409407720559713
./02 - Algorithms & Problem-Solving Level 1.docx,DOCX,2022-10-26 07:58:00+00:00,2023-04-15 11:45:00+00:00,,,,0.06907594739282252,1,36.24791501711435
./02 - Algorithms & Problem-Solving Level 1.pdf,PDF,2023-12-23 09:00:39+00:00,2023-12-23 09:00:42+00:00,Ahmed Hanafi,,,0.045377126266283985,1,42.56325795663345
./02-hafta-pdf.pdf,PDF,,2020-10-24 14:25:14+00:00,,,,0.05446412315634197,1,40.141723934133246
./02. Bolum - Yapay Sinir Aglari.pdf,PDF,2024-05-25 15:52:24+00:00,2024-05-25 15:52:24+00:00,,,,0.09098540526267102,1,30.409407720559713
./03 - Programming Using C++ - Level 1.docx,DOCX,2022-10-26 07:58:00+00:00,2023-04-22 13:48:00+00:00,,,,0.06771889985573587,1,36.609545687946955
./03 - Programming Using C++ - Level 1.pdf,PDF,2023-12-23 09:02:46+00:00,2023-12-23 09:02:50+00:00,Ahmed Hanafi,,,0.045377126266283985,1,42.56325795663345
./03-hafta-PDF.pdf,PDF,,2021-10-12 22:05:53+00:00,,,,0.08656977333853516,1,31.586100423825812
./04 - Algorithms & Problem-Solving Level 1 Solu.docx,DOCX,2022-10-26 07:58:00+00:00,2023-04-24 14:16:00+00:00,,,,0.06396398852729446,1,37.61016730621124
./04-hafta-pdf.pdf,PDF,2021-10-26 19:34:27+00:00,2021-10-26 19:34:27+00:00,tekinonlayn@hotmail.com,,,0.029422268564735954,1,46.81496302662399
./06-hafta-pdf.pdf,PDF,,2020-11-01 03:24:04+00:00,,,,0.015103012555526929,1,50.630807361414874
./1 Temel Kavramlar ve İlkeler (1).pdf,PDF,2024-10-24 20:01:08+00:00,2024-10-24 20:01:08+00:00,,,,0.0888844914616807,1,30.96926641854214
./1. haftanın ödevi.pdf,PDF,,,CamScanner,,,0.2000254666616469,1,1.3520390774583002
./10-fonksyon.pdf,PDF,2018-02-19 11:55:40+00:00,2018-02-19 11:55:40+00:00,pau,,,0.02216977842654666,1,48.747631413105694
./10_hafta-algoritma-analizi__minumumkapsayanagac.pdf,PDF,2016-04-26 06:07:23+00:00,2016-04-26 06:07:23+00:00,ERKAN TANYILDIZI,,,-0.016656392821623234,-1,59.09416237139487
